Отчетный период;Федеральный округ РФ;Субъект РФ;Показатель;Мера измерения;Значение
Февраль 25;Сибирский ФО;Иркутская обл.;Студенты;Кл.;3394
Январь 25;Уральский ФО;Челябинская обл.;Студенты;Кл.;6694
Март 25;Приволжский ФО;Нижегородская обл.;Административный персонал;Кл.;145
Январь 25;Сибирский ФО;Иркутская обл.;Средняя стоимость обеда;Руб.;310.1
Март 25;Сибирский ФО;Иркутская обл.;Объем транзакций;Руб.;158026.5
Январь 25;Северо-Западный ФО;Мурманская обл.;Количество клиентов;Кл.;614
Май 25;Сибирский ФО;Красноярский край;Доля людей, питающихся в столовой;%;43
Апрель 25;Уральский ФО;Челябинская обл.;Средний тариф банка;%;7.3
Май 25;Приволжский ФО;Самарская обл.;Общее количество людей в ВУЗе;Кл.;8322
Март 25;Приволжский ФО;Самарская обл.;Количество клиентов;Кл.;3870
Февраль 25;Северо-Западный ФО;Мурманская обл.;Административный персонал;Кл.;212
Январь 25;Сибирский ФО;Красноярский край;Средний тариф банка;%;1.0
Май 25;Северо-Западный ФО;Мурманская обл.;Студенты;Кл.;5039
Январь 25;Сибирский ФО;Новосибирская обл.;Общее количество людей в ВУЗе;Кл.;3675
Май 25;Сибирский ФО;Красноярский край;Административный персонал;Кл.;188
Январь 25;Сибирский ФО;Новосибирская обл.;Количество клиентов;Кл.;786
Февраль 25;Сибирский ФО;Иркутская обл.;Объем транзакций;Руб.;950235.4
Март 25;Приволжский ФО;Нижегородская обл.;Средний тариф банка;%;7.2
Май 25;Северо-Западный ФО;Архангельская обл.;Доход банка;Руб.;92705.5
Март 25;Центральный ФО;Московская обл.;Средний тариф банка;%;1.7
Апрель 25;Уральский ФО;Челябинская обл.;Студенты;Кл.;1887
Март 25;Уральский ФО;Свердловская обл.;Количество клиентов;Кл.;2783
Февраль 25;Северо-Западный ФО;Архангельская обл.;Административный персонал;Кл.;254
Март 25;Центральный ФО;г. Москва;Количество клиентов;Кл.;4057
Март 25;Сибирский ФО;Иркутская обл.;Студенты;Кл.;7914
Апрель 25;Сибирский ФО;Красноярский край;Количество клиентов;Кл.;852
Апрель 25;Северо-Западный ФО;Архангельская обл.;Доход банка;Руб.;13911.1
Март 25;Сибирский ФО;Красноярский край;Средний тариф банка;%;5.6
Февраль 25;Северо-Западный ФО;Архангельская обл.;Студенты;Кл.;6444
Апрель 25;Центральный ФО;Московская обл.;Объем транзакций;Руб.;699177.3
Май 25;Центральный ФО;г. Москва;Общее количество людей в ВУЗе;Кл.;8790
Февраль 25;Сибирский ФО;Иркутская обл.;Средний тариф банка;%;1.4
Март 25;Северо-Западный ФО;Мурманская обл.;Средняя стоимость обеда;Руб.;369.1
Май 25;Сибирский ФО;Новосибирская обл.;Студенты;Кл.;3112
Май 25;Приволжский ФО;Нижегородская обл.;Средний тариф банка;%;1.4
Февраль 25;Сибирский ФО;Иркутская обл.;Количество клиентов;Кл.;2725
Февраль 25;Уральский ФО;Челябинская обл.;Средняя стоимость обеда;Руб.;288.6
Май 25;Северо-Западный ФО;Мурманская обл.;Административный персонал;Кл.;384
Май 25;Сибирский ФО;Иркутская обл.;Объем транзакций;Руб.;537787.9
Январь 25;Северо-Западный ФО;Архангельская обл.;Объем транзакций;Руб.;149304.8
Январь 25;Центральный ФО;г. Москва;Студенты;Кл.;2781
Май 25;Центральный ФО;Московская обл.;Объем транзакций;Руб.;946514.9
Март 25;Сибирский ФО;Красноярский край;Студенты;Кл.;1408
Февраль 25;Северо-Западный ФО;Мурманская обл.;Количество клиентов;Кл.;2630
Январь 25;Центральный ФО;Московская обл.;Административный персонал;Кл.;295
Февраль 25;Уральский ФО;Тюменская обл.;Общее количество людей в ВУЗе;Кл.;5006
Апрель 25;Приволжский ФО;Самарская обл.;Административный персонал;Кл.;456
Апрель 25;Сибирский ФО;Новосибирская обл.;Средний тариф банка;%;1.9
Январь 25;Приволжский ФО;Республика Татарстан;Объем транзакций;Руб.;562114.2
Апрель 25;Центральный ФО;Московская обл.;Общее количество людей в ВУЗе;Кл.;2233
Январь 25;Северо-Западный ФО;Архангельская обл.;Доход банка;Руб.;12737.7
Апрель 25;Приволжский ФО;Нижегородская обл.;Доля людей, питающихся в столовой;%;64
Март 25;Приволжский ФО;Нижегородская обл.;Средняя стоимость обеда;Руб.;191.5
Январь 25;Центральный ФО;Тверская обл.;Средний тариф банка;%;9.9
Май 25;Приволжский ФО;Нижегородская обл.;Средняя стоимость обеда;Руб.;154.6
Январь 25;Уральский ФО;Свердловская обл.;Общее количество людей в ВУЗе;Кл.;2169
Апрель 25;Северо-Западный ФО;Ленинградская обл.;Количество клиентов;Кл.;3935
Февраль 25;Приволжский ФО;Республика Татарстан;Средний тариф банка;%;2.0
Март 25;Центральный ФО;Тверская обл.;Студенты;Кл.;3098
Январь 25;Приволжский ФО;Нижегородская обл.;Средний тариф банка;%;6.0
Январь 25;Северо-Западный ФО;Архангельская обл.;Доля людей, питающихся в столовой;%;75
Март 25;Приволжский ФО;Нижегородская обл.;Объем транзакций;Руб.;731718.6
Май 25;Приволжский ФО;Самарская обл.;Студенты;Кл.;5043
Апрель 25;Сибирский ФО;Иркутская обл.;Объем транзакций;Руб.;104334.7
Март 25;Уральский ФО;Тюменская обл.;Количество клиентов;Кл.;2502
Апрель 25;Центральный ФО;г. Москва;Доход банка;Руб.;60521.8
Март 25;Северо-Западный ФО;Ленинградская обл.;Количество клиентов;Кл.;1776
Январь 25;Сибирский ФО;Иркутская обл.;Количество клиентов;Кл.;2545
Март 25;Приволжский ФО;Самарская обл.;Доля людей, питающихся в столовой;%;44
Май 25;Сибирский ФО;Иркутская обл.;Средняя стоимость обеда;Руб.;252.0
Апрель 25;Северо-Западный ФО;Ленинградская обл.;Доход банка;Руб.;51416.1
Апрель 25;Сибирский ФО;Новосибирская обл.;Доход банка;Руб.;95498.5
Февраль 25;Сибирский ФО;Красноярский край;Общее количество людей в ВУЗе;Кл.;5172
Апрель 25;Уральский ФО;Тюменская обл.;Средний тариф банка;%;8.6
Февраль 25;Северо-Западный ФО;Мурманская обл.;Доход банка;Руб.;52022.2
Февраль 25;Приволжский ФО;Республика Татарстан;Студенты;Кл.;2013
Май 25;Уральский ФО;Челябинская обл.;Количество клиентов;Кл.;3777
Март 25;Приволжский ФО;Нижегородская обл.;Доход банка;Руб.;60488.0
Январь 25;Сибирский ФО;Красноярский край;Доход банка;Руб.;87327.8
Январь 25;Уральский ФО;Тюменская обл.;Количество клиентов;Кл.;1276
Май 25;Уральский ФО;Челябинская обл.;Доход банка;Руб.;44328.9
Май 25;Уральский ФО;Свердловская обл.;Доля людей, питающихся в столовой;%;39
Февраль 25;Приволжский ФО;Самарская обл.;Средний тариф банка;%;6.2
Май 25;Центральный ФО;Тверская обл.;Объем транзакций;Руб.;333088.5
Март 25;Центральный ФО;Тверская обл.;Доход банка;Руб.;11361.5
Апрель 25;Сибирский ФО;Иркутская обл.;Средняя стоимость обеда;Руб.;173.3
Март 25;Центральный ФО;г. Москва;Доля людей, питающихся в столовой;%;46
Январь 25;Северо-Западный ФО;Мурманская обл.;Общее количество людей в ВУЗе;Кл.;3190
Март 25;Сибирский ФО;Иркутская обл.;Количество клиентов;Кл.;593
Февраль 25;Сибирский ФО;Новосибирская обл.;Средняя стоимость обеда;Руб.;232.6
Февраль 25;Приволжский ФО;Республика Татарстан;Объем транзакций;Руб.;541020.4
Май 25;Северо-Западный ФО;Архангельская обл.;Количество клиентов;Кл.;4978
Февраль 25;Центральный ФО;г. Москва;Административный персонал;Кл.;316
Март 25;Северо-Западный ФО;Архангельская обл.;Объем транзакций;Руб.;279683.3
Май 25;Северо-Западный ФО;Архангельская обл.;Средний тариф банка;%;6.7
Май 25;Центральный ФО;Тверская обл.;Доля людей, питающихся в столовой;%;67
Май 25;Уральский ФО;Тюменская обл.;Средняя стоимость обеда;Руб.;187.9
Март 25;Сибирский ФО;Иркутская обл.;Общее количество людей в ВУЗе;Кл.;2858
Апрель 25;Приволжский ФО;Республика Татарстан;Административный персонал;Кл.;282
Март 25;Северо-Западный ФО;Архангельская обл.;Средняя стоимость обеда;Руб.;162.8
Январь 25;Центральный ФО;г. Москва;Средняя стоимость обеда;Руб.;390.9
Январь 25;Центральный ФО;Московская обл.;Средняя стоимость обеда;Руб.;339.7
Январь 25;Сибирский ФО;Новосибирская обл.;Объем транзакций;Руб.;178089.7
Январь 25;Сибирский ФО;Новосибирская обл.;Средний тариф банка;%;4.9
Март 25;Уральский ФО;Тюменская обл.;Студенты;Кл.;7249
Май 25;Уральский ФО;Свердловская обл.;Количество клиентов;Кл.;1703
Апрель 25;Центральный ФО;Тверская обл.;Количество клиентов;Кл.;3629
Март 25;Сибирский ФО;Иркутская обл.;Средняя стоимость обеда;Руб.;378.2
Апрель 25;Приволжский ФО;Нижегородская обл.;Студенты;Кл.;6077
Апрель 25;Приволжский ФО;Самарская обл.;Доход банка;Руб.;33444.5
Январь 25;Сибирский ФО;Красноярский край;Административный персонал;Кл.;133
Апрель 25;Северо-Западный ФО;Мурманская обл.;Доля людей, питающихся в столовой;%;57
Апрель 25;Приволжский ФО;Самарская обл.;Количество клиентов;Кл.;504
Май 25;Северо-Западный ФО;Мурманская обл.;Доля людей, питающихся в столовой;%;59
Апрель 25;Сибирский ФО;Новосибирская обл.;Общее количество людей в ВУЗе;Кл.;5331
Январь 25;Приволжский ФО;Самарская обл.;Общее количество людей в ВУЗе;Кл.;1437
Январь 25;Сибирский ФО;Красноярский край;Доля людей, питающихся в столовой;%;67
Апрель 25;Центральный ФО;г. Москва;Административный персонал;Кл.;340
Февраль 25;Сибирский ФО;Иркутская обл.;Средняя стоимость обеда;Руб.;191.0
Январь 25;Северо-Западный ФО;Ленинградская обл.;Средний тариф банка;%;5.3
Март 25;Сибирский ФО;Новосибирская обл.;Доход банка;Руб.;79227.5
Январь 25;Северо-Западный ФО;Ленинградская обл.;Общее количество людей в ВУЗе;Кл.;2898
Апрель 25;Северо-Западный ФО;Мурманская обл.;Средняя стоимость обеда;Руб.;322.1
Апрель 25;Уральский ФО;Тюменская обл.;Доля людей, питающихся в столовой;%;38
Февраль 25;Центральный ФО;Московская обл.;Общее количество людей в ВУЗе;Кл.;1839
Февраль 25;Центральный ФО;г. Москва;Объем транзакций;Руб.;180386.6
Март 25;Северо-Западный ФО;Архангельская обл.;Административный персонал;Кл.;119
Февраль 25;Северо-Западный ФО;Ленинградская обл.;Количество клиентов;Кл.;4473
Февраль 25;Приволжский ФО;Республика Татарстан;Средняя стоимость обеда;Руб.;211.2
Май 25;Уральский ФО;Свердловская обл.;Студенты;Кл.;7004
Январь 25;Северо-Западный ФО;Архангельская обл.;Средний тариф банка;%;8.5
Март 25;Центральный ФО;Тверская обл.;Объем транзакций;Руб.;877296.0
Май 25;Сибирский ФО;Иркутская обл.;Общее количество людей в ВУЗе;Кл.;2480
Январь 25;Сибирский ФО;Иркутская обл.;Объем транзакций;Руб.;842620.6
Февраль 25;Северо-Западный ФО;Архангельская обл.;Общее количество людей в ВУЗе;Кл.;7983
Апрель 25;Северо-Западный ФО;Ленинградская обл.;Административный персонал;Кл.;230
Февраль 25;Сибирский ФО;Новосибирская обл.;Средний тариф банка;%;2.5
Май 25;Приволжский ФО;Республика Татарстан;Средняя стоимость обеда;Руб.;182.2
Май 25;Северо-Западный ФО;Мурманская обл.;Общее количество людей в ВУЗе;Кл.;5737
Май 25;Сибирский ФО;Красноярский край;Доход банка;Руб.;42899.1
Март 25;Центральный ФО;Московская обл.;Объем транзакций;Руб.;370453.0
Январь 25;Приволжский ФО;Самарская обл.;Количество клиентов;Кл.;1941
Апрель 25;Северо-Западный ФО;Архангельская обл.;Объем транзакций;Руб.;173657.9
Январь 25;Северо-Западный ФО;Ленинградская обл.;Доход банка;Руб.;69953.1
Январь 25;Северо-Западный ФО;Архангельская обл.;Средняя стоимость обеда;Руб.;199.9
Январь 25;Центральный ФО;Московская обл.;Объем транзакций;Руб.;754344.5
Февраль 25;Сибирский ФО;Красноярский край;Средняя стоимость обеда;Руб.;362.1
Март 25;Уральский ФО;Свердловская обл.;Студенты;Кл.;6937
Март 25;Приволжский ФО;Нижегородская обл.;Доля людей, питающихся в столовой;%;62
Апрель 25;Северо-Западный ФО;Архангельская обл.;Средняя стоимость обеда;Руб.;217.9
Февраль 25;Сибирский ФО;Иркутская обл.;Доход банка;Руб.;49859.4
Март 25;Центральный ФО;Тверская обл.;Количество клиентов;Кл.;4266
Май 25;Северо-Западный ФО;Мурманская обл.;Средний тариф банка;%;4.3
Апрель 25;Северо-Западный ФО;Архангельская обл.;Средний тариф банка;%;6.6
Апрель 25;Сибирский ФО;Красноярский край;Общее количество людей в ВУЗе;Кл.;5860
Февраль 25;Сибирский ФО;Иркутская обл.;Административный персонал;Кл.;498
Май 25;Северо-Западный ФО;Мурманская обл.;Средняя стоимость обеда;Руб.;152.6
Май 25;Приволжский ФО;Нижегородская обл.;Административный персонал;Кл.;442
Март 25;Сибирский ФО;Красноярский край;Средняя стоимость обеда;Руб.;258.9
Март 25;Северо-Западный ФО;Ленинградская обл.;Объем транзакций;Руб.;725814.9
Апрель 25;Приволжский ФО;Самарская обл.;Общее количество людей в ВУЗе;Кл.;9697
Апрель 25;Уральский ФО;Тюменская обл.;Студенты;Кл.;5876
Февраль 25;Приволжский ФО;Нижегородская обл.;Объем транзакций;Руб.;832323.1
Апрель 25;Сибирский ФО;Иркутская обл.;Доля людей, питающихся в столовой;%;65
Март 25;Уральский ФО;Тюменская обл.;Общее количество людей в ВУЗе;Кл.;8732
Май 25;Центральный ФО;г. Москва;Средний тариф банка;%;5.8
Апрель 25;Северо-Западный ФО;Архангельская обл.;Административный персонал;Кл.;379
Март 25;Северо-Западный ФО;Ленинградская обл.;Студенты;Кл.;5905
Февраль 25;Уральский ФО;Челябинская обл.;Административный персонал;Кл.;51
Февраль 25;Сибирский ФО;Новосибирская обл.;Количество клиентов;Кл.;4535
Апрель 25;Приволжский ФО;Нижегородская обл.;Средний тариф банка;%;7.8
Март 25;Северо-Западный ФО;Мурманская обл.;Доход банка;Руб.;38729.2
Февраль 25;Сибирский ФО;Иркутская обл.;Общее количество людей в ВУЗе;Кл.;1562
Апрель 25;Приволжский ФО;Самарская обл.;Средняя стоимость обеда;Руб.;206.2
Январь 25;Уральский ФО;Свердловская обл.;Средний тариф банка;%;2.3
Март 25;Приволжский ФО;Республика Татарстан;Количество клиентов;Кл.;4838
Май 25;Центральный ФО;Московская обл.;Общее количество людей в ВУЗе;Кл.;5184
Апрель 25;Приволжский ФО;Республика Татарстан;Доход банка;Руб.;75741.7
Январь 25;Центральный ФО;Тверская обл.;Доход банка;Руб.;80787.5
Май 25;Приволжский ФО;Республика Татарстан;Доход банка;Руб.;99529.1
Январь 25;Центральный ФО;Тверская обл.;Количество клиентов;Кл.;4248
Март 25;Сибирский ФО;Красноярский край;Доля людей, питающихся в столовой;%;83
Апрель 25;Центральный ФО;Тверская обл.;Студенты;Кл.;853
Январь 25;Сибирский ФО;Иркутская обл.;Доход банка;Руб.;95665.1
Май 25;Приволжский ФО;Республика Татарстан;Объем транзакций;Руб.;564930.4
Май 25;Сибирский ФО;Красноярский край;Студенты;Кл.;5871
Февраль 25;Приволжский ФО;Самарская обл.;Доход банка;Руб.;20286.5
Март 25;Центральный ФО;Тверская обл.;Средний тариф банка;%;6.6
Февраль 25;Центральный ФО;Московская обл.;Доход банка;Руб.;43295.2
Март 25;Сибирский ФО;Новосибирская обл.;Административный персонал;Кл.;338
Май 25;Сибирский ФО;Красноярский край;Средняя стоимость обеда;Руб.;309.4
Февраль 25;Центральный ФО;Тверская обл.;Студенты;Кл.;5071
Май 25;Центральный ФО;г. Москва;Доход банка;Руб.;55652.9
Январь 25;Центральный ФО;Московская обл.;Доход банка;Руб.;43171.5
Январь 25;Уральский ФО;Свердловская обл.;Количество клиентов;Кл.;1178
Май 25;Центральный ФО;Московская обл.;Средняя стоимость обеда;Руб.;377.0
Май 25;Приволжский ФО;Республика Татарстан;Доля людей, питающихся в столовой;%;69
Февраль 25;Приволжский ФО;Самарская обл.;Доля людей, питающихся в столовой;%;67
Февраль 25;Сибирский ФО;Красноярский край;Административный персонал;Кл.;329
Январь 25;Сибирский ФО;Новосибирская обл.;Административный персонал;Кл.;253
Февраль 25;Уральский ФО;Свердловская обл.;Средний тариф банка;%;3.9
Январь 25;Центральный ФО;Тверская обл.;Общее количество людей в ВУЗе;Кл.;8082
Январь 25;Сибирский ФО;Иркутская обл.;Общее количество людей в ВУЗе;Кл.;5686
Май 25;Уральский ФО;Челябинская обл.;Студенты;Кл.;5335
Февраль 25;Северо-Западный ФО;Ленинградская обл.;Средняя стоимость обеда;Руб.;380.8
Март 25;Центральный ФО;г. Москва;Средний тариф банка;%;7.4
Март 25;Сибирский ФО;Красноярский край;Общее количество людей в ВУЗе;Кл.;9210
Февраль 25;Северо-Западный ФО;Архангельская обл.;Объем транзакций;Руб.;387085.1
Апрель 25;Уральский ФО;Тюменская обл.;Объем транзакций;Руб.;397561.5
Май 25;Уральский ФО;Челябинская обл.;Объем транзакций;Руб.;649592.6
Январь 25;Центральный ФО;г. Москва;Общее количество людей в ВУЗе;Кл.;9771
Апрель 25;Уральский ФО;Свердловская обл.;Студенты;Кл.;6143
Апрель 25;Приволжский ФО;Нижегородская обл.;Количество клиентов;Кл.;693
Март 25;Центральный ФО;г. Москва;Доход банка;Руб.;71914.0
Май 25;Уральский ФО;Свердловская обл.;Объем транзакций;Руб.;134306.5
Январь 25;Приволжский ФО;Республика Татарстан;Средний тариф банка;%;2.6
Май 25;Уральский ФО;Тюменская обл.;Административный персонал;Кл.;275
Январь 25;Сибирский ФО;Новосибирская обл.;Студенты;Кл.;7711
Февраль 25;Сибирский ФО;Новосибирская обл.;Объем транзакций;Руб.;784769.4
Апрель 25;Приволжский ФО;Нижегородская обл.;Объем транзакций;Руб.;110386.9
Май 25;Сибирский ФО;Иркутская обл.;Доход банка;Руб.;39044.7
Апрель 25;Центральный ФО;Московская обл.;Количество клиентов;Кл.;4294
Февраль 25;Центральный ФО;Тверская обл.;Доход банка;Руб.;34624.3
Март 25;Северо-Западный ФО;Мурманская обл.;Общее количество людей в ВУЗе;Кл.;9439
Февраль 25;Центральный ФО;г. Москва;Доход банка;Руб.;51990.1
Апрель 25;Приволжский ФО;Республика Татарстан;Средний тариф банка;%;8.7
Январь 25;Сибирский ФО;Иркутская обл.;Средний тариф банка;%;8.3
Февраль 25;Уральский ФО;Тюменская обл.;Доход банка;Руб.;17989.1
Апрель 25;Уральский ФО;Тюменская обл.;Общее количество людей в ВУЗе;Кл.;2978
Май 25;Северо-Западный ФО;Архангельская обл.;Общее количество людей в ВУЗе;Кл.;3440
Февраль 25;Сибирский ФО;Красноярский край;Студенты;Кл.;4689
Январь 25;Приволжский ФО;Самарская обл.;Средняя стоимость обеда;Руб.;336.8
Апрель 25;Северо-Западный ФО;Ленинградская обл.;Доля людей, питающихся в столовой;%;76
Май 25;Приволжский ФО;Республика Татарстан;Студенты;Кл.;5503
Май 25;Северо-Западный ФО;Ленинградская обл.;Доля людей, питающихся в столовой;%;30
Февраль 25;Центральный ФО;г. Москва;Доля людей, питающихся в столовой;%;68
Январь 25;Северо-Западный ФО;Мурманская обл.;Средняя стоимость обеда;Руб.;391.8
Март 25;Центральный ФО;Московская обл.;Доля людей, питающихся в столовой;%;86
Апрель 25;Центральный ФО;Тверская обл.;Доход банка;Руб.;25995.2
Март 25;Приволжский ФО;Республика Татарстан;Объем транзакций;Руб.;134022.5
Февраль 25;Центральный ФО;Московская обл.;Средний тариф банка;%;1.8
Январь 25;Северо-Западный ФО;Ленинградская обл.;Студенты;Кл.;6062
Апрель 25;Центральный ФО;Тверская обл.;Объем транзакций;Руб.;446265.2
Март 25;Сибирский ФО;Красноярский край;Доход банка;Руб.;13159.3
Май 25;Северо-Западный ФО;Ленинградская обл.;Количество клиентов;Кл.;2713
Январь 25;Уральский ФО;Тюменская обл.;Доля людей, питающихся в столовой;%;74
Май 25;Приволжский ФО;Самарская обл.;Количество клиентов;Кл.;4808
Февраль 25;Центральный ФО;Тверская обл.;Доля людей, питающихся в столовой;%;86
Март 25;Центральный ФО;Московская обл.;Средняя стоимость обеда;Руб.;158.5
Апрель 25;Сибирский ФО;Красноярский край;Объем транзакций;Руб.;214562.6
Май 25;Уральский ФО;Свердловская обл.;Общее количество людей в ВУЗе;Кл.;7936
Февраль 25;Уральский ФО;Тюменская обл.;Доля людей, питающихся в столовой;%;41
Февраль 25;Северо-Западный ФО;Ленинградская обл.;Административный персонал;Кл.;85
Март 25;Северо-Западный ФО;Мурманская обл.;Административный персонал;Кл.;392
Март 25;Уральский ФО;Челябинская обл.;Доход банка;Руб.;82691.5
Январь 25;Уральский ФО;Тюменская обл.;Административный персонал;Кл.;148
Май 25;Уральский ФО;Тюменская обл.;Доход банка;Руб.;53982.7
Апрель 25;Приволжский ФО;Республика Татарстан;Общее количество людей в ВУЗе;Кл.;7057
Май 25;Сибирский ФО;Иркутская обл.;Количество клиентов;Кл.;3840
Май 25;Приволжский ФО;Самарская обл.;Административный персонал;Кл.;477
Март 25;Уральский ФО;Челябинская обл.;Количество клиентов;Кл.;4023
Январь 25;Уральский ФО;Свердловская обл.;Средняя стоимость обеда;Руб.;188.4
Март 25;Центральный ФО;Московская обл.;Студенты;Кл.;7888
Апрель 25;Уральский ФО;Свердловская обл.;Количество клиентов;Кл.;1872
Февраль 25;Уральский ФО;Свердловская обл.;Доход банка;Руб.;71168.4
Январь 25;Северо-Западный ФО;Мурманская обл.;Студенты;Кл.;4226
Май 25;Приволжский ФО;Самарская обл.;Средняя стоимость обеда;Руб.;176.8
Март 25;Уральский ФО;Челябинская обл.;Средняя стоимость обеда;Руб.;259.5
Март 25;Уральский ФО;Тюменская обл.;Средняя стоимость обеда;Руб.;219.4
Апрель 25;Северо-Западный ФО;Мурманская обл.;Объем транзакций;Руб.;936117.9
Март 25;Северо-Западный ФО;Ленинградская обл.;Доля людей, питающихся в столовой;%;53
Май 25;Центральный ФО;г. Москва;Административный персонал;Кл.;144
Март 25;Центральный ФО;Московская обл.;Доход банка;Руб.;11520.7
Февраль 25;Центральный ФО;Московская обл.;Студенты;Кл.;5216
Январь 25;Приволжский ФО;Нижегородская обл.;Количество клиентов;Кл.;3017
Апрель 25;Приволжский ФО;Нижегородская обл.;Средняя стоимость обеда;Руб.;329.5
Апрель 25;Северо-Западный ФО;Мурманская обл.;Доход банка;Руб.;15227.3
Февраль 25;Уральский ФО;Свердловская обл.;Административный персонал;Кл.;254
Апрель 25;Уральский ФО;Тюменская обл.;Административный персонал;Кл.;266
Апрель 25;Уральский ФО;Свердловская обл.;Доля людей, питающихся в столовой;%;61
Февраль 25;Уральский ФО;Челябинская обл.;Студенты;Кл.;3705
Февраль 25;Приволжский ФО;Самарская обл.;Средняя стоимость обеда;Руб.;362.6
Февраль 25;Приволжский ФО;Самарская обл.;Объем транзакций;Руб.;589741.7
Январь 25;Уральский ФО;Челябинская обл.;Общее количество людей в ВУЗе;Кл.;8932
Май 25;Приволжский ФО;Нижегородская обл.;Доля людей, питающихся в столовой;%;76
Май 25;Уральский ФО;Челябинская обл.;Административный персонал;Кл.;121
Март 25;Приволжский ФО;Самарская обл.;Общее количество людей в ВУЗе;Кл.;6982
Апрель 25;Северо-Западный ФО;Архангельская обл.;Общее количество людей в ВУЗе;Кл.;1607
Апрель 25;Приволжский ФО;Нижегородская обл.;Доход банка;Руб.;31749.2
Апрель 25;Центральный ФО;Тверская обл.;Административный персонал;Кл.;431
Апрель 25;Уральский ФО;Челябинская обл.;Количество клиентов;Кл.;2503
Апрель 25;Сибирский ФО;Иркутская обл.;Средний тариф банка;%;2.9
Январь 25;Центральный ФО;Московская обл.;Доля людей, питающихся в столовой;%;83
Март 25;Северо-Западный ФО;Мурманская обл.;Количество клиентов;Кл.;2128
Февраль 25;Северо-Западный ФО;Ленинградская обл.;Объем транзакций;Руб.;124990.3
Май 25;Сибирский ФО;Новосибирская обл.;Объем транзакций;Руб.;212770.2
Март 25;Приволжский ФО;Самарская обл.;Средняя стоимость обеда;Руб.;346.5
Февраль 25;Северо-Западный ФО;Архангельская обл.;Количество клиентов;Кл.;2890
Апрель 25;Центральный ФО;Московская обл.;Административный персонал;Кл.;219
Февраль 25;Центральный ФО;Тверская обл.;Количество клиентов;Кл.;1302
Май 25;Сибирский ФО;Новосибирская обл.;Средний тариф банка;%;9.6
Март 25;Уральский ФО;Свердловская обл.;Объем транзакций;Руб.;306420.4
Февраль 25;Уральский ФО;Тюменская обл.;Количество клиентов;Кл.;3262
Февраль 25;Уральский ФО;Свердловская обл.;Количество клиентов;Кл.;4170
Апрель 25;Северо-Западный ФО;Ленинградская обл.;Общее количество людей в ВУЗе;Кл.;9430
Март 25;Сибирский ФО;Иркутская обл.;Доля людей, питающихся в столовой;%;73
Май 25;Центральный ФО;Тверская обл.;Средний тариф банка;%;5.3
Февраль 25;Уральский ФО;Свердловская обл.;Объем транзакций;Руб.;419567.1
Март 25;Сибирский ФО;Новосибирская обл.;Общее количество людей в ВУЗе;Кл.;9156
Январь 25;Центральный ФО;Московская обл.;Общее количество людей в ВУЗе;Кл.;9777
Май 25;Центральный ФО;Московская обл.;Доход банка;Руб.;89964.0
Май 25;Уральский ФО;Тюменская обл.;Студенты;Кл.;5306
Январь 25;Приволжский ФО;Нижегородская обл.;Общее количество людей в ВУЗе;Кл.;3170
